crop_name,N,P,K,temperature,humidity,ph,season,soil_type,region,growth_stage,label
olive,25.03,15.03,38.22,17.93,62.0,8.28,permanent,calcareous,north_coast,fruiting,magnesium_sulphate_16
potato,120.0,50.0,191.76,19.12,50.81,7.87,winter,loamy_clay,middle_egypt,vegetative,no_fertilizer_required
wheat,24.16,24.13,4.14,16.21,52.62,8.14,winter,clayey_delta,south_delta,vegetative,zinc_sulphate_22
olive,32.14,6.49,28.53,24.23,60.72,8.03,permanent,calcareous,sinai_north,flowering,magnesium_sulphate_16
cotton,120.0,46.46,99.37,31.2,48.38,8.04,summer,loamy_clay,middle_egypt,vegetative,nutrient_excess
date_palm,6.01,1.89,19.79,32.84,33.19,7.59,permanent,sandy,new_lands,fruiting,npk_19_19_19
tomato_winter,83.85,22.02,58.42,20.06,65.07,8.09,winter,clayey_delta,north_delta,flowering,npk_20_20_20
mango,55.34,20.6,90.06,25.62,40.0,8.26,permanent,reclaimed,new_lands,fruiting,iron_chelate_eddha_6
sugar_beet,27.86,29.03,21.23,19.24,64.72,8.04,winter,calcareous,west_delta,seedling,agricultural_sulphur_99
date_palm,37.73,15.46,10.68,30.23,33.58,7.52,permanent,sandy,upper_egypt,fruiting,potassium_sulphate_48
mango,119.31,39.58,125.71,31.67,45.0,7.78,permanent,sandy,aswan,vegetative,nutrient_excess
olive,25.54,2.47,57.68,22.84,36.4,7.9,permanent,sandy,new_lands,flowering,triple_super_phosphate_46
pomegranate,46.19,24.04,36.67,24.43,54.88,8.27,permanent,calcareous,west_delta,fruiting,iron_chelate_eddha_6
coriander,34.17,2.91,27.5,16.67,60.0,8.1,winter,loamy_clay,middle_egypt,seedling,phosphoric_acid_85
maize,92.87,15.37,34.23,27.92,68.26,8.12,summer,clayey_delta,north_delta,fruiting,phosphoric_acid_85
olive,20.91,3.63,40.94,19.72,58.5,8.22,permanent,calcareous,sinai_north,seedling,manganese_sulphate_32
rice,18.52,26.86,52.46,33.0,68.75,8.02,summer,clayey_delta,north_delta,fruiting,ammonium_sulphate_206
cumin,59.67,44.16,49.58,15.3,44.19,7.6,winter,sandy,new_lands,fruiting,nutrient_excess
wheat,53.73,29.84,4.65,17.4,50.0,7.97,winter,loamy_clay,upper_egypt,vegetative,potassium_chloride_60
berseem,3.27,14.82,19.16,21.17,53.04,7.64,winter,loamy_clay,middle_egypt,vegetative,urea_46
maize,23.84,33.58,33.32,35.47,46.08,7.83,summer,alluvial,middle_egypt,flowering,ammonium_nitrate_335
tomato_summer,55.68,41.91,75.8,24.03,62.31,8.24,summer,clayey_delta,north_delta,fruiting,iron_chelate_eddha_6
tomato_summer,34.19,39.43,110.14,31.33,50.0,8.1,summer,loamy_clay,upper_egypt,seedling,ammonium_sulphate_206
garlic,14.27,18.53,61.17,16.19,64.78,8.2,winter,alluvial,north_delta,seedling,agricultural_sulphur_99
lentil,8.99,19.87,18.87,16.04,40.06,8.34,winter,reclaimed,new_lands,vegetative,ammonium_molybdate_54
barley,10.18,17.35,30.71,17.54,60.73,7.89,winter,calcareous,sinai_north,flowering,ammonium_sulphate_206
eggplant,19.23,23.48,81.92,35.16,50.0,7.97,summer,loamy_clay,middle_egypt,fruiting,ammonium_nitrate_335
cumin,9.8,7.35,22.89,18.26,57.21,7.87,winter,loamy_clay,west_delta,flowering,di_ammonium_phosphate_18_46
mango,64.48,6.08,66.27,28.69,45.08,7.56,permanent,sandy,upper_egypt,flowering,triple_super_phosphate_46
barley,7.58,13.2,22.4,20.51,60.0,8.22,winter,calcareous,north_coast,seedling,manganese_sulphate_32
potato,76.72,23.73,138.9,14.08,58.31,7.93,winter,loamy_clay,west_delta,seedling,single_super_phosphate_15
cumin,9.26,5.93,23.02,15.35,54.22,7.77,winter,calcareous,west_delta,flowering,di_ammonium_phosphate_18_46
citrus,58.63,29.47,86.63,21.77,62.27,7.89,permanent,reclaimed,west_delta,vegetative,calcium_ammonium_nitrate_26
cumin,6.49,5.03,5.34,12.97,57.23,7.84,winter,loamy_clay,west_delta,fruiting,npk_19_19_19
sugar_beet,74.77,47.33,74.51,18.53,57.14,7.81,winter,loamy_clay,south_delta,vegetative,nutrient_excess
faba_bean,44.72,46.91,55.61,15.43,54.28,7.68,winter,loamy_clay,middle_egypt,fruiting,no_fertilizer_required
cotton,120.0,35.31,59.49,31.02,58.72,7.75,summer,alluvial,middle_egypt,seedling,nutrient_excess
basil,57.05,15.94,48.7,25.54,61.56,7.47,summer,sandy,east_delta,seedling,humic_acid_80
berseem,2.8,22.93,18.72,18.61,53.62,7.91,winter,loamy_clay,south_delta,vegetative,urea_46
mango,26.22,7.51,28.01,26.59,44.18,7.72,permanent,sandy,upper_egypt,seedling,npk_20_20_20
olive,8.72,4.25,9.0,16.26,62.0,7.79,permanent,calcareous,north_coast,flowering,magnesium_sulphate_16
berseem,28.84,22.94,14.9,12.64,61.55,8.3,winter,clayey_delta,north_delta,fruiting,ammonium_molybdate_54
potato,120.0,50.0,194.7,16.6,65.73,7.53,winter,sandy,east_delta,seedling,humic_acid_80
cotton,39.09,20.39,57.68,27.69,50.52,8.05,summer,loamy_clay,middle_egypt,seedling,agricultural_sulphur_99
citrus,93.58,12.69,53.39,26.7,45.0,8.27,permanent,reclaimed,new_lands,fruiting,iron_chelate_eddha_6
tomato_winter,78.1,41.1,87.32,15.09,59.11,7.55,winter,sandy,east_delta,seedling,humic_acid_80
watermelon,11.96,5.22,25.47,26.93,59.11,7.88,summer,calcareous,sinai_north,fruiting,magnesium_sulphate_16
rice,90.4,25.96,9.45,31.67,67.24,8.13,summer,clayey_delta,north_delta,vegetative,zinc_sulphate_22
berseem,21.61,17.6,3.89,16.92,59.6,7.94,winter,alluvial,south_delta,seedling,potassium_chloride_60
maize,91.5,8.27,8.31,30.61,66.12,8.2,summer,alluvial,north_delta,vegetative,zinc_sulphate_22
cotton,44.67,25.19,77.58,26.0,58.36,8.3,summer,clayey_delta,south_delta,seedling,agricultural_sulphur_99
date_palm,28.87,2.79,61.08,28.12,43.2,7.76,permanent,sandy,upper_egypt,flowering,triple_super_phosphate_46
sugar_beet,91.13,50.0,62.73,14.48,69.77,8.25,winter,clayey_delta,north_delta,fruiting,nutrient_excess
berseem,14.82,20.97,20.96,18.14,51.19,8.27,winter,clayey_delta,south_delta,fruiting,ammonium_molybdate_54
tomato_winter,20.42,5.78,20.31,22.57,60.0,7.63,winter,loamy_clay,middle_egypt,fruiting,npk_20_20_20
maize,87.64,16.3,29.09,28.77,52.17,7.93,summer,alluvial,middle_egypt,fruiting,single_super_phosphate_15
cotton,67.27,25.27,75.82,31.36,67.11,8.08,summer,clayey_delta,north_delta,seedling,agricultural_sulphur_99
basil,51.71,25.73,11.14,25.89,65.59,8.2,summer,alluvial,north_delta,fruiting,potassium_sulphate_48
pepper,69.93,27.64,65.53,29.12,59.82,8.2,summer,clayey_delta,north_delta,fruiting,iron_chelate_eddha_6
cucumber,37.83,15.46,104.54,28.04,67.71,7.86,summer,alluvial,north_delta,fruiting,calcium_nitrate_155
coriander,28.92,14.95,22.97,13.81,57.23,8.09,winter,alluvial,south_delta,seedling,npk_20_20_20
watermelon,43.63,18.87,85.89,31.42,38.08,7.73,summer,calcareous,new_lands,fruiting,magnesium_sulphate_16
berseem,6.66,6.33,3.15,17.05,61.96,7.82,winter,alluvial,north_delta,vegetative,npk_19_19_19
wheat,78.14,28.04,3.78,15.34,57.87,8.17,winter,clayey_delta,south_delta,fruiting,potassium_chloride_60
pomegranate,71.0,36.76,106.47,25.91,33.41,7.83,permanent,reclaimed,new_lands,vegetative,nutrient_excess
mint,57.38,32.02,76.65,22.13,55.73,7.81,permanent,alluvial,middle_egypt,flowering,calcium_nitrate_155
barley,41.85,12.78,23.0,10.61,62.0,7.63,winter,reclaimed,sinai_north,seedling,humic_acid_80
rice,76.87,16.95,15.18,28.87,78.34,7.97,summer,clayey_delta,north_delta,seedling,potassium_chloride_60
faba_bean,30.72,34.88,29.16,13.67,53.79,8.2,winter,alluvial,middle_egypt,seedling,ammonium_molybdate_54
cumin,15.14,18.26,27.25,17.71,60.0,7.84,winter,loamy_clay,west_delta,flowering,calcium_nitrate_155
wheat,22.3,25.43,21.4,12.85,63.33,7.89,winter,alluvial,north_delta,vegetative,urea_46
rice,61.34,24.9,36.23,25.16,65.0,7.77,summer,alluvial,south_delta,fruiting,calcium_nitrate_155
date_palm,16.67,14.08,44.73,25.76,32.04,7.59,permanent,sandy,aswan,seedling,calcium_ammonium_nitrate_26
garlic,15.67,22.72,65.11,18.4,49.9,7.84,winter,alluvial,south_delta,seedling,urea_46
berseem,19.0,22.73,9.78,13.85,62.46,8.09,winter,clayey_delta,south_delta,seedling,ammonium_molybdate_54
cumin,9.85,5.07,34.38,20.62,36.73,7.99,winter,calcareous,new_lands,fruiting,di_ammonium_phosphate_18_46
mango,59.1,4.62,78.77,34.34,40.0,7.59,permanent,sandy,aswan,vegetative,triple_super_phosphate_46
wheat,68.92,26.66,14.53,11.63,52.88,7.69,winter,alluvial,middle_egypt,flowering,no_fertilizer_required
mango,76.33,4.92,87.27,30.14,42.95,8.02,permanent,loamy_clay,upper_egypt,vegetative,phosphoric_acid_85
coriander,45.39,9.52,29.8,12.42,57.71,7.87,winter,loamy_clay,west_delta,fruiting,single_super_phosphate_15
grapes,11.81,5.49,23.41,20.59,51.02,8.22,permanent,reclaimed,middle_egypt,vegetative,manganese_sulphate_32
eggplant,64.17,20.07,95.66,31.92,49.82,7.71,summer,sandy,upper_egypt,seedling,humic_acid_80
cucumber,31.74,24.52,96.32,28.22,64.44,7.8,summer,alluvial,south_delta,fruiting,calcium_nitrate_155
maize,100.54,30.93,9.41,31.34,52.13,7.71,summer,loamy_clay,south_delta,seedling,potassium_chloride_60
banana,40.96,27.34,131.4,22.94,60.0,7.8,permanent,alluvial,middle_egypt,fruiting,urea_46
date_palm,9.58,1.51,47.07,32.55,32.77,7.63,permanent,sandy,upper_egypt,seedling,mono_ammonium_phosphate_12_61
onion,23.43,5.03,20.15,20.69,37.06,8.2,winter,alluvial,upper_egypt,seedling,agricultural_sulphur_99
watermelon,9.01,17.93,67.15,35.34,37.96,7.82,summer,reclaimed,new_lands,fruiting,ammonium_nitrate_335
grapes,13.0,6.12,25.33,22.74,35.85,8.24,permanent,calcareous,new_lands,vegetative,manganese_sulphate_32
tomato_winter,28.37,40.86,85.67,15.23,57.39,8.04,winter,loamy_clay,west_delta,flowering,ammonium_sulphate_206
pomegranate,45.17,50.0,169.88,24.58,44.91,7.99,permanent,loamy_clay,middle_egypt,flowering,nutrient_excess
sugar_beet,16.39,5.85,7.71,14.79,61.01,8.1,winter,loamy_clay,south_delta,seedling,agricultural_sulphur_99
olive,25.82,6.92,38.98,24.81,35.71,8.0,permanent,reclaimed,new_lands,flowering,single_super_phosphate_15
mint,99.19,17.97,66.08,20.48,58.51,8.29,permanent,clayey_delta,south_delta,seedling,agricultural_sulphur_99
olive,35.07,5.86,37.9,25.31,38.94,7.92,permanent,calcareous,new_lands,flowering,magnesium_sulphate_16
berseem,13.99,5.6,13.58,18.28,48.13,7.61,winter,loamy_clay,south_delta,vegetative,triple_super_phosphate_46
date_palm,42.77,9.81,12.96,26.51,30.53,8.26,permanent,reclaimed,aswan,seedling,manganese_sulphate_32
mango,102.24,38.93,121.2,27.58,40.69,7.84,permanent,sandy,new_lands,seedling,humic_acid_80
onion,68.33,6.69,63.49,15.7,53.16,8.2,winter,alluvial,middle_egypt,fruiting,phosphoric_acid_85
wheat,18.79,4.14,11.59,18.2,59.04,7.84,winter,clayey_delta,north_delta,flowering,di_ammonium_phosphate_18_46
date_palm,24.82,1.75,52.18,28.56,32.28,7.85,permanent,sandy,aswan,fruiting,triple_super_phosphate_46
berseem,9.25,17.35,19.89,18.58,56.01,7.78,winter,loamy_clay,south_delta,fruiting,calcium_nitrate_155
watermelon,43.12,23.06,87.93,28.39,59.45,7.78,summer,reclaimed,west_delta,seedling,humic_acid_80
pomegranate,62.71,34.73,98.27,33.85,37.45,7.62,permanent,sandy,upper_egypt,seedling,humic_acid_80
rice,94.94,4.98,52.71,29.21,65.0,8.2,summer,clayey_delta,south_delta,flowering,phosphoric_acid_85
lentil,21.34,16.08,31.76,17.16,48.0,8.0,winter,reclaimed,middle_egypt,flowering,ammonium_molybdate_54
mango,71.16,12.97,81.13,23.79,40.0,7.6,permanent,sandy,new_lands,vegetative,single_super_phosphate_15
berseem,37.25,33.84,30.82,14.74,54.13,7.83,winter,alluvial,middle_egypt,vegetative,nutrient_excess
watermelon,22.08,15.25,62.64,30.82,43.37,7.71,summer,sandy,upper_egypt,vegetative,calcium_ammonium_nitrate_26
grapes,35.84,33.08,125.37,24.33,55.28,7.67,permanent,sandy,sinai_north,seedling,calcium_ammonium_nitrate_26
pepper,43.5,26.73,66.89,29.84,57.12,7.97,summer,loamy_clay,upper_egypt,seedling,urea_46
faba_bean,5.06,5.87,33.38,15.84,59.27,7.77,winter,alluvial,north_delta,seedling,mono_ammonium_phosphate_12_61
basil,9.0,5.43,38.27,22.96,55.91,7.99,summer,loamy_clay,south_delta,seedling,mono_ammonium_phosphate_12_61
cotton,40.26,21.75,70.07,24.87,56.44,7.75,summer,alluvial,south_delta,fruiting,borax_11
sugar_beet,44.25,33.91,8.29,17.02,63.65,7.71,winter,loamy_clay,west_delta,vegetative,potassium_chloride_60
grapes,70.95,27.0,95.07,25.38,49.03,7.92,permanent,reclaimed,middle_egypt,seedling,humic_acid_80
tomato_summer,116.06,50.0,9.12,28.94,63.98,7.64,summer,sandy,east_delta,vegetative,potassium_sulphate_48
garlic,30.32,13.57,66.77,16.25,65.95,7.79,winter,alluvial,north_delta,seedling,urea_46
tomato_summer,96.75,21.42,118.11,24.09,50.0,7.76,summer,alluvial,middle_egypt,seedling,single_super_phosphate_15
onion,35.67,26.72,62.91,19.45,50.27,8.0,winter,clayey_delta,south_delta,flowering,calcium_nitrate_155
mango,85.63,23.9,69.86,27.03,40.65,8.36,permanent,reclaimed,new_lands,seedling,iron_chelate_eddha_6
berseem,24.88,9.52,12.67,16.74,52.43,7.9,winter,alluvial,middle_egypt,seedling,single_super_phosphate_15
date_palm,10.74,10.77,61.18,35.23,26.03,7.83,permanent,reclaimed,aswan,fruiting,ammonium_nitrate_335
watermelon,69.57,31.04,123.8,27.52,50.59,7.88,summer,calcareous,west_delta,fruiting,magnesium_sulphate_16
date_palm,34.63,1.93,54.95,27.48,38.6,7.63,permanent,sandy,upper_egypt,vegetative,triple_super_phosphate_46
cucumber,19.72,22.12,86.93,28.77,59.79,8.22,summer,clayey_delta,south_delta,seedling,iron_chelate_eddha_6
wheat,60.32,18.0,18.77,18.69,61.81,8.21,winter,clayey_delta,north_delta,vegetative,zinc_sulphate_22
olive,8.78,18.03,45.72,18.72,51.36,8.05,permanent,calcareous,sinai_north,fruiting,magnesium_sulphate_16
lentil,20.44,19.16,25.37,16.82,47.41,7.97,winter,reclaimed,middle_egypt,seedling,humic_acid_80
grapes,40.01,24.39,85.49,29.2,39.82,7.9,permanent,sandy,new_lands,flowering,calcium_ammonium_nitrate_26
cabbage,67.07,18.26,15.52,13.84,54.08,7.61,winter,loamy_clay,middle_egypt,seedling,potassium_chloride_60
onion,19.71,6.83,43.53,17.6,44.13,7.82,winter,loamy_clay,upper_egypt,flowering,di_ammonium_phosphate_18_46
rice,70.94,1.56,200.0,26.35,65.0,8.02,summer,alluvial,north_delta,vegetative,nutrient_excess
onion,92.04,33.67,78.46,16.15,59.36,8.31,winter,clayey_delta,north_delta,seedling,agricultural_sulphur_99
tomato_summer,85.01,21.42,107.63,25.04,63.69,7.78,summer,alluvial,north_delta,flowering,single_super_phosphate_15
lentil,17.95,11.39,23.92,17.37,50.0,7.98,winter,reclaimed,sinai_north,flowering,single_super_phosphate_15
rice,19.95,20.43,42.88,29.08,65.0,8.2,summer,clayey_delta,south_delta,vegetative,zinc_sulphate_22
basil,14.15,4.84,15.22,24.4,57.92,7.78,summer,loamy_clay,middle_egypt,seedling,npk_19_19_19
barley,19.87,13.84,16.05,17.7,41.7,8.36,winter,reclaimed,new_lands,seedling,manganese_sulphate_32
date_palm,13.59,4.29,54.34,35.5,29.25,7.52,permanent,sandy,new_lands,seedling,ammonium_nitrate_335
date_palm,8.56,1.4,10.48,31.91,34.44,8.39,permanent,reclaimed,aswan,vegetative,zinc_sulphate_22
citrus,92.67,12.09,78.68,27.23,46.67,7.88,permanent,loamy_clay,upper_egypt,vegetative,single_super_phosphate_15
onion,97.73,39.02,98.22,18.34,60.83,8.03,winter,clayey_delta,north_delta,fruiting,nutrient_excess
barley,120.0,4.34,23.64,16.27,53.16,8.04,winter,calcareous,west_delta,flowering,nutrient_excess
wheat,73.79,29.61,2.52,15.19,65.0,7.95,winter,alluvial,north_delta,fruiting,potassium_chloride_60
watermelon,7.53,23.38,69.42,30.13,59.34,7.81,summer,sandy,sinai_north,seedling,urea_46
eggplant,76.74,5.96,74.39,31.26,62.11,7.37,summer,sandy,east_delta,vegetative,triple_super_phosphate_46
maize,97.8,23.78,41.95,27.09,49.81,8.2,summer,alluvial,middle_egypt,vegetative,zinc_sulphate_22
cucumber,35.51,25.58,104.53,31.35,60.73,7.45,summer,sandy,east_delta,fruiting,calcium_ammonium_nitrate_26
pomegranate,81.56,36.12,115.1,27.76,41.69,7.81,permanent,loamy_clay,middle_egypt,fruiting,nutrient_excess
cumin,8.31,4.03,24.78,18.7,42.13,8.03,winter,alluvial,middle_egypt,flowering,di_ammonium_phosphate_18_46
eggplant,45.21,22.86,74.67,29.15,48.0,7.86,summer,loamy_clay,upper_egypt,fruiting,calcium_nitrate_155
tomato_summer,80.39,35.3,68.25,26.26,64.11,8.29,summer,clayey_delta,north_delta,flowering,iron_chelate_eddha_6
rice,23.11,19.45,42.15,31.86,65.0,7.93,summer,clayey_delta,south_delta,flowering,urea_46
onion,20.26,26.47,62.57,10.85,42.64,8.05,winter,loamy_clay,middle_egypt,fruiting,ammonium_sulphate_206
sugar_beet,40.14,34.74,29.76,21.18,55.71,8.4,winter,clayey_delta,south_delta,seedling,agricultural_sulphur_99
olive,43.33,30.95,95.95,18.25,62.0,7.74,permanent,sandy,sinai_north,fruiting,nutrient_excess
mango,79.24,6.28,88.85,24.24,42.36,7.69,permanent,sandy,new_lands,flowering,triple_super_phosphate_46
pepper,58.71,6.7,51.82,22.34,63.68,8.04,summer,loamy_clay,upper_egypt,fruiting,phosphoric_acid_85
rice,63.69,20.8,40.2,31.63,77.88,7.86,summer,alluvial,north_delta,fruiting,calcium_nitrate_155
barley,6.93,4.3,26.4,18.02,43.98,8.22,winter,calcareous,new_lands,fruiting,di_ammonium_phosphate_18_46
lentil,8.89,17.74,23.94,16.25,56.3,7.83,winter,sandy,sinai_north,fruiting,calcium_ammonium_nitrate_26
cabbage,22.56,6.22,25.19,15.77,56.54,8.02,winter,loamy_clay,middle_egypt,vegetative,npk_20_20_20
wheat,63.67,29.66,2.9,17.62,46.4,8.01,winter,alluvial,middle_egypt,seedling,potassium_chloride_60
date_palm,10.74,10.77,61.18,35.23,26.03,7.83,permanent,reclaimed,aswan,fruiting,ammonium_nitrate_335
date_palm,60.15,21.91,88.0,30.03,30.77,8.2,permanent,calcareous,new_lands,seedling,manganese_sulphate_32
garlic,58.07,5.23,75.08,11.3,54.14,8.31,winter,clayey_delta,south_delta,vegetative,phosphoric_acid_85
faba_bean,31.12,18.28,38.23,18.68,60.12,8.2,winter,alluvial,north_delta,seedling,ammonium_molybdate_54
potato,120.0,50.0,185.53,15.88,67.38,8.16,winter,alluvial,north_delta,vegetative,no_fertilizer_required
pepper,54.73,17.57,64.82,27.23,70.67,8.2,summer,clayey_delta,north_delta,flowering,iron_chelate_eddha_6
pomegranate,10.45,5.15,67.06,27.59,40.51,7.94,permanent,calcareous,new_lands,fruiting,borax_11
wheat,78.36,24.51,8.89,15.18,63.68,7.59,winter,alluvial,north_delta,vegetative,potassium_nitrate_13_0_46
mint,76.16,6.53,61.31,24.19,61.55,8.2,permanent,alluvial,south_delta,seedling,agricultural_sulphur_99
mango,57.75,25.17,12.92,22.53,61.15,7.57,permanent,sandy,east_delta,flowering,potassium_sulphate_48
onion,107.41,42.24,89.06,19.21,39.56,7.64,winter,alluvial,upper_egypt,flowering,nutrient_excess
rice,90.25,12.42,27.3,30.15,65.0,8.2,summer,clayey_delta,south_delta,vegetative,zinc_sulphate_22
mint,101.84,28.71,61.93,22.54,66.14,8.04,permanent,clayey_delta,north_delta,seedling,agricultural_sulphur_99
mango,56.2,21.21,81.51,29.37,40.0,7.77,permanent,sandy,new_lands,seedling,humic_acid_80
banana,111.05,21.99,151.6,31.48,60.0,7.78,permanent,alluvial,middle_egypt,flowering,single_super_phosphate_15
basil,45.04,17.49,28.81,27.14,47.0,7.8,summer,loamy_clay,middle_egypt,vegetative,potassium_sulphate_48
cotton,84.31,20.76,76.64,30.27,59.28,8.2,summer,alluvial,middle_egypt,flowering,borax_11
rice,95.84,7.16,56.24,26.64,72.81,8.08,summer,alluvial,north_delta,seedling,phosphoric_acid_85
watermelon,12.84,23.85,91.29,36.03,35.0,7.78,summer,sandy,upper_egypt,flowering,ammonium_nitrate_335
wheat,16.79,24.84,4.24,16.02,58.58,7.91,winter,alluvial,north_delta,seedling,potassium_nitrate_13_0_46
lentil,3.73,19.27,7.12,19.77,42.69,8.12,winter,calcareous,new_lands,vegetative,ammonium_molybdate_54
lentil,23.18,9.43,10.69,15.26,47.42,7.58,winter,reclaimed,middle_egypt,fruiting,npk_19_19_19
sugar_beet,77.66,50.0,74.04,16.76,67.11,8.08,winter,clayey_delta,north_delta,vegetative,nutrient_excess
cumin,5.63,24.34,17.41,18.9,46.46,8.2,winter,alluvial,middle_egypt,seedling,ammonium_sulphate_206
cabbage,51.07,14.15,55.1,16.87,63.39,7.8,winter,clayey_delta,north_delta,flowering,borax_11
watermelon,12.44,5.4,72.37,33.0,50.0,7.8,summer,calcareous,sinai_north,fruiting,magnesium_sulphate_16
potato,16.42,36.28,134.98,18.32,61.79,8.06,winter,loamy_clay,west_delta,fruiting,ammonium_sulphate_206
cabbage,20.52,9.3,11.07,17.98,60.0,7.7,winter,alluvial,middle_egypt,flowering,borax_11
maize,91.2,9.73,30.7,26.52,55.65,8.11,summer,alluvial,north_delta,seedling,phosphoric_acid_85
olive,21.08,6.66,52.12,24.62,34.19,8.04,permanent,reclaimed,new_lands,fruiting,phosphoric_acid_85
berseem,26.38,20.15,3.67,15.18,63.27,7.83,winter,alluvial,north_delta,vegetative,potassium_chloride_60
maize,34.59,28.17,34.24,35.06,46.31,7.88,summer,loamy_clay,middle_egypt,fruiting,ammonium_nitrate_335
wheat,22.76,7.86,16.77,16.54,53.04,8.07,winter,clayey_delta,south_delta,seedling,mono_ammonium_phosphate_12_61
mango,107.51,43.56,136.46,28.07,41.36,7.57,permanent,sandy,aswan,flowering,nutrient_excess
olive,4.86,3.08,55.28,17.62,61.07,7.94,permanent,calcareous,north_coast,flowering,magnesium_sulphate_16
grapes,52.62,10.1,24.82,24.43,56.98,8.22,permanent,calcareous,west_delta,seedling,manganese_sulphate_32
maize,106.07,31.9,18.67,24.85,50.0,8.0,summer,loamy_clay,upper_egypt,vegetative,zinc_sulphate_22
barley,6.48,17.42,30.98,12.31,38.01,8.27,winter,calcareous,new_lands,flowering,ammonium_sulphate_206
berseem,11.19,15.53,19.91,13.9,51.81,7.85,winter,loamy_clay,middle_egypt,fruiting,calcium_nitrate_155
banana,62.57,35.19,144.11,27.61,60.0,7.76,permanent,alluvial,middle_egypt,flowering,calcium_nitrate_155
grapes,39.94,30.43,98.92,21.88,56.49,7.87,permanent,loamy_clay,west_delta,seedling,urea_46
citrus,77.25,7.36,83.34,23.46,48.97,7.83,permanent,loamy_clay,upper_egypt,seedling,triple_super_phosphate_46
tomato_summer,81.99,9.81,98.77,25.36,54.52,8.05,summer,alluvial,south_delta,flowering,phosphoric_acid_85
onion,17.96,3.39,14.93,18.67,49.91,7.87,winter,alluvial,middle_egypt,seedling,npk_19_19_19
pepper,59.9,24.57,59.17,27.73,58.82,8.2,summer,clayey_delta,south_delta,seedling,iron_chelate_eddha_6
olive,23.66,14.39,48.06,26.22,36.99,8.15,permanent,reclaimed,new_lands,seedling,agricultural_sulphur_99
barley,12.31,2.49,22.15,16.08,60.0,8.02,winter,calcareous,north_coast,seedling,mono_ammonium_phosphate_12_61
maize,91.59,23.41,20.63,28.29,69.41,8.12,summer,alluvial,north_delta,flowering,potassium_nitrate_13_0_46
lentil,21.95,15.23,10.86,17.26,59.04,7.99,winter,calcareous,sinai_north,flowering,potassium_nitrate_13_0_46
barley,41.32,9.88,30.37,16.7,53.55,8.02,winter,calcareous,sinai_north,fruiting,no_fertilizer_required
cucumber,33.26,15.88,78.1,27.45,70.0,7.57,summer,alluvial,east_delta,flowering,calcium_nitrate_155
potato,52.65,48.43,139.16,20.63,61.07,7.92,winter,alluvial,north_delta,flowering,calcium_nitrate_155
